iter	Passed	Remaining
0	1	122
1	2	109
2	3	104
3	3	93
4	4	87
5	5	92
6	7	93
7	8	94
8	9	95
9	10	92
10	11	91
11	12	92
12	13	93
13	15	92
14	16	91
15	17	89
16	18	88
17	19	86
18	19	85
19	20	83
20	21	81
21	22	79
22	23	77
23	23	75
24	24	74
25	25	73
26	26	71
27	27	69
28	27	67
29	28	66
30	29	64
31	29	63
32	30	62
33	31	60
34	31	59
35	32	57
36	33	56
37	33	55
38	34	53
39	35	52
40	35	51
41	35	49
42	36	48
43	37	47
44	37	46
45	38	44
46	38	43
47	39	42
48	40	41
49	40	40
50	41	39
51	42	38
52	42	38
53	43	37
54	43	35
55	44	35
56	45	34
57	46	33
58	46	32
59	47	31
60	47	30
61	48	29
62	49	28
63	49	27
64	50	27
65	50	26
66	51	25
67	52	24
68	52	23
69	53	22
70	53	22
71	54	21
72	55	20
73	55	19
74	56	18
75	57	18
76	57	17
77	58	16
78	59	15
79	59	14
80	60	14
81	60	13
82	61	12
83	61	11
84	62	11
85	62	10
86	63	9
87	64	8
88	64	8
89	65	7
90	65	6
91	66	5
92	67	5
93	67	4
94	68	3
95	68	2
96	69	2
97	70	1
98	70	0
99	71	0
